ID,isFreq,isVar,clickNum,time,timePeriod,isCorrect,onSwimmer,isDuringDrowning,onDiver,clickDelay,expression,swimmerStill,swimmerX,swimmerY,StuckToWalls,,,,,,,,,,
10,0,1,0,10.8225901126861,Initial,False,False,True,False,,,,,,0,,,,,,,,,,
10,0,1,3,100.140099048614,Initial,False,False,True,False,,,,,,0,,,,,,,,,,
10,0,1,7,323.824918031692,Condition,False,True,False,False,,0,False,240,598,0,,,,,,,,,,
10,0,1,10,906.609731197357,Condition,False,False,False,False,,,,,,0,,,,,,,,,,
10,0,1,12,1042.21550107002,End,False,False,True,False,,,,,,0,,,,,,,,,,
10,0,1,15,1111.12669920921,End,False,False,False,False,,,,,,0,,,,,,,,,,
10,0,1,17,1173.65058207511,End,False,False,False,False,,,,,,0,,,,,,,,,,
11,1,0,8,238.914218902587,Condition,True,True,True,False,0.805561065673828,3,False,546,510,0,,,,,,,,,,
11,1,0,11,260.968924045562,Condition,True,True,True,False,0.927031993865966,2,True,1033,218,0,,,,,,,,,,
11,1,0,30,595.076638936996,Condition,True,True,True,False,1.01849603652954,2,False,1002,643,0,,,,,,,,,,
11,1,0,26,548.314559936523,Condition,True,True,True,False,1.21623492240905,3,False,773,643,0,,,,,,,,,,
11,1,0,15,379.309208869934,Condition,True,True,True,False,1.23065900802612,2,False,564,65,0,,,,,,,,,,
11,1,0,49,1039.32034993171,End,True,True,True,False,1.23260903358459,2,False,114,84,0,,,,,,,,,,
11,1,0,47,993.371824979782,Condition,True,True,True,False,1.23724508285522,2,False,687,576,0,,,,,,,,,,
11,1,0,28,567.29,Condition,True,True,True,False,1.2412691116333,2,False,1002,643,0,,,,,,,,,,
11,1,0,3,99.3922128677368,Initial,True,True,True,False,1.2880527973175,3,False,542,290,0,,,,,,,,,,
11,1,0,29,576.405274868011,Condition,True,True,True,False,1.30471682548522,3,False,480,99,0,,,,,,,,,,
11,1,0,9,253.44,Condition,True,True,True,False,1.36,2,False,541,176,0,,,,,,,,,,
11,1,0,53,1084.46727490425,End,True,True,True,False,1.37964391708374,2,False,877,183,0,,,,,,,,,,
